masterid,inj,fat,total_entrances,degree,total_racks,stwidth,max_stwidth,aadt2,total_stations,avg_facilfar,factryarea,garagearea,avg_numfloors,total_area,avg_builtfar,avg_assessland,avg_bldgdepth,lotarea,avg_lotdepth,min_numfloors,avg_lotfront,resarea,max_numfloors,comarea,strgearea,unitsres,officearea,avg_residfar,retailarea,bldgarea,avg_assesstot,avg_commfar,avg_bldgfront,unitstotal,x,y
6376,63,0,"",4,"",139.097757534894,72.4462023203384,35030,"",3.559375,0,0,3.984375,1490.56123618652,2.7896875,45869.59375,67.36578125,205413,97.33453125,1,31.85171875,380466,6,160660,0,473,28068,3.559375,49521,541126,304370.703125,0,30.98703125,533,-73.9476050018583,40.8252328592054
6377,25,0,"",4,3,150.782041894248,71.1554009886939,24850,"",5.565,0,0,2.70833333333333,1263.93925009041,1.62083333333333,32463.7333333333,52.557,232675,94.1953333333333,0,40.0325,349134,6,84670,0,371,21762,3.49733333333333,36828,433804,183680.733333333,0.366666666666667,33.5623333333333,399,-73.9025447937868,40.8605782547019
6382,11,0,"",3,"",146.921671880586,79.9222271109549,53016,"",2.58461538461538,0,22300,2.23076923076923,745.052484054132,1.53923076923077,223857.692307692,69.3523076923077,386785,164.994615384615,0,141.912307692308,144375,6,347569,65379,132,185888,0.793846153846154,47942,491944,1741783.38461538,0.615384615384615,53.1538461538462,167,-73.877913804172,40.8399703283747
6384,13,0,"",4,"",103.336417079274,56.641958059342,12661,"",4.8,0,500,2.01538461538462,1013.97659120573,1.33369230769231,29946.2769230769,72.6229230769231,220075,107.162769230769,1,33.4973846153846,173380,4,96308,0,188,7830,2.43,78175,269688,115887,0,28.3935384615385,244,-73.9163322219341,40.6551314310337
6390,37,0,"",4,6,132.131958781662,70.7640781365135,27062,"",9.16666666666667,0,68411,9.33333333333333,2574.06896839529,6.71095238095238,1771544.76190476,96.9285714285714,227759,114.262857142857,0,82.2657142857143,1116171,35,571203,0,1101,10110,9.05238095238095,97838,1687374,7008216.66666667,0.323809523809524,81.9009523809524,1125,-73.9732105644847,40.7952520247296
6395,25,0,1,4,4,114.183646522084,67.988890673687,36042,"",8.96296296296296,0,227098,10.8425925925926,1506.44193421329,9.25518518518519,2358970.37037037,134.29,342771,119.30962962963,0,113.724814814815,2095559,43,1564534,7887,2349,57311,8.82074074074074,1193825,3660093,12848559.5555556,7.03703703703704,91.8296296296296,2719,-73.985191522291,40.7635436741688
6406,28,2,"",4,12,121.749694655259,72.3590120218855,31992,"",2.06666666666667,0,0,2.275,977.161605454358,1.3025,49683,54.7666666666667,209531,96.2666666666667,2,35.7218333333333,243665,6,103272,0,278,42737,1.34166666666667,56623,346937,190514.15,0,31.5426666666667,329,-73.9647198339821,40.6223729604812
6408,107,1,4,4,21,143.708044752857,72.5747985782952,49976,"",7.05172413793103,0,0,7.93103448275862,1136.64631679407,4.63172413793103,1020703.31034483,82.3793103448276,261563,104.974137931034,0,61.7393103448276,756128,21,122051,1124,1066,19000,7.00206896551724,98441,878179,5173451.31034483,2.62068965517241,46.9627586206897,1123,-73.9871804962165,40.7332921471691
6423,14,0,1,4,3,87.7747643415757,50.688209781272,34899,"",11.9047619047619,0,0,13.5714285714286,1603.055825622,8.40857142857143,10962878.2380952,96.6190476190476,327035,143.997619047619,0,75.512380952381,590415,60,4996048,900,494,4759431,10,183112,5586463,61208378.6190476,11.9047619047619,40.8490476190476,633,-73.9705341761302,40.7590006489336
6430,13,1,"",4,8,106.84288105088,57.2512398515492,21844,"",3.375,51266,20659,3.23958333333333,1309.44310450554,1.91,161491.3125,59.6129166666667,532509,109.1375,0,63.2510416666667,764226,21,295355,33418,985,103340,2.425625,62010,1059581,795463.3125,0.375,41.4372916666667,1057,-73.9819924404977,40.683418142035
6464,13,0,"",4,5,68.9442281145865,39.7157121758701,9547,"",4.8,0,0,2.43396226415094,1743.37688770102,1.70292452830189,9986.14150943396,52.1981132075472,255633,100.169811320755,0,23.0642452830189,376589,4,90670,0,357,0,2.43,20398,467259,62127.4056603774,0,22.5689622641509,377,-73.9118056537903,40.6927850826665
6468,15,0,"",4,2,92.4242955446635,61.8044325968008,31832,"",7.36,0,63880,9,1709.2813111471,5.682,1513473.12,88.6568,266306,103.5952,3,83.8708,1953090,30,141320,0,2003,1000,7.36,52640,2094410,6999784.44,1.12,79.4104,2035,-73.9512478844539,40.7785508520793
6479,27,0,"",4,4,190.815485133653,71.7712711732739,38971,"",6.5,0,21749,9.16666666666667,31533.0030615915,2.42,4162500,141,1086972,349.471666666667,4,420.886666666667,1737145,19,218042,0,1605,144225,3.44,31068,1955187,12382875,0,222.5,1635,-73.9483112541116,40.7981292178723
6491,15,0,"",4,"",95.87921626675,62.4507016753856,21890,"",2,0,0,2.50555555555556,1373.58753300201,1.57655555555556,9595.62222222222,46.6222222222222,199253,98.6731111111111,0,21.8242222222222,266060,4,32846,0,246,0,2,16721,298906,34885.3444444444,0,19.7288888888889,264,-73.9380769587421,40.6831609032336
6516,12,0,"",4,"",139.688694457827,85.5773123326486,11504,"",3.95833333333333,0,4250,3.10416666666667,380.677632582108,2.17791666666667,225368.333333333,72.04875,709169,124.189166666667,0,121.509166666667,444245,6,178252,0,421,7575,3.39166666666667,12325,622497,852326.041666667,0,67.6425,439,-73.8797306111645,40.8768654941481
6518,13,0,"",4,"",131.510249315085,73.8290308700048,33958,"",2.45205479452055,800,2460,2.23972602739726,1574.28051532574,1.30945205479452,29930.3698630137,56.8424657534247,215814,111.512876712329,0,25.7319178082192,170179,4,101306,760,184,8770,1.9027397260274,40910,271485,129407.917808219,0,20.9132876712329,229,-73.8684837485149,40.7573349368725
6536,32,0,3,4,"",191.889578118779,80.00878316834,32493,1,5.43529411764706,0,43000,2.61764705882353,2626.95695983992,2.27705882352941,163881.352941176,101.721176470588,190297,107.196470588235,0,108.550588235294,80136,10,361201,122850,81,72432,1.72,115574,441337,963433.411764706,1.94117647058824,80.6470588235294,128,-73.9180614563402,40.840361936554
6559,13,1,"",4,5,122.880835724058,69.7095217782819,30861,"",2.65217391304348,0,161197,3.17391304347826,1549.41798845386,2.3595652173913,2492135.60869565,109.949130434783,754928,164.96347826087,0,120.876086956522,311713,8,946386,44000,412,242651,2.6104347826087,49400,1258099,6215722.04347826,2.60869565217391,72.65,449,-73.9941733525833,40.7665045972735
6571,16,0,"",4,2,106.538760417278,61.7581974082022,31265,"",5.58461538461538,0,0,4.53846153846154,7788.15031002156,3.66923076923077,417530.769230769,106.460769230769,380583,134.067692307692,0,155.788461538462,781310,6,252241,8715,629,77200,3.44,58140,1033551,2660088.46153846,0.784615384615385,118.890769230769,682,-73.8928365303784,40.8209740535486
