"","O","D","Diff"
"741",69,42,-43
"742",69,46,-26
"743",69,47,-35
"744",69,50,-35
"745",69,52,-20
"746",69,70,-65
"747",69,71,-34
"748",69,75,-22
"749",69,77,-29
"750",69,78,-24
"751",69,79,-35
"752",69,206,-20
"753",69,257,-49
"754",70,1,-22
"755",70,2,-21
"756",70,5,-41
"757",70,6,-301
"758",70,11,-40
"759",70,16,-30
"760",70,18,-45
"761",70,19,-69
"762",70,20,-64
"763",70,21,-116
"764",70,22,-91
"765",70,23,-71
"766",70,25,-40
"767",70,26,-21
"768",70,27,-57
"769",70,28,-24
"770",70,29,-43
"771",70,31,-46
"772",70,33,-26
"773",70,34,-37
"774",70,37,-54
"775",70,38,-23
"776",70,39,-49
"777",70,40,-59
"778",70,41,-89
"779",70,42,-35
"780",70,50,-26
"781",70,69,-65
"782",70,72,-49
"783",70,75,-26
"784",70,77,-84
"785",70,203,-23
"786",70,205,-35
"787",70,206,-49
"788",70,207,-57
"789",70,209,-23
"790",71,5,-48
"791",71,6,-73
"792",71,11,-216
"793",71,12,-63
"794",71,14,-22
"795",71,18,-231
"796",71,19,-56
"797",71,20,-224
"798",71,21,-548
"799",71,22,-77
"800",71,23,-63
"801",71,25,-25
"802",71,27,-372
"803",71,29,-25
"804",71,31,-30
"805",71,34,-27
"806",71,37,-44
"807",71,39,-51
"808",71,40,-60
"809",71,41,-95
"810",71,42,-30
"811",71,47,-39
"812",71,50,-23
"813",71,69,-34
"814",71,72,-35
"815",71,77,-29
"816",71,204,-40
"817",71,206,-28
"818",71,207,-22
"819",71,215,-24.199999
"820",71,257,-52
"821",72,5,-34
"822",72,6,-44
"823",72,11,-28
"824",72,16,-27
"825",72,18,-43
"826",72,19,-64
"827",72,20,-62
"828",72,21,-116
"829",72,22,-81
"830",72,23,-73
"831",72,25,-25
"832",72,27,-38
"833",72,29,-30
"834",72,31,-31
"835",72,34,-27
"836",72,37,-52
"837",72,70,-49
"838",72,71,-35
"839",72,73,-24
"840",72,77,-24
"841",72,205,-27
"842",72,206,-163
"843",72,216,-165
"844",73,6,-148
"845",73,19,-65
"846",73,20,-31
"847",73,21,-68
"848",73,22,-77
"849",73,23,-73
"850",73,31,-24
"851",73,37,-46
"852",73,39,-40
"853",73,40,-49
"854",73,41,-57
"855",73,72,-24
"856",73,77,-43
"857",73,206,-106
"858",73,215,-22.51
"859",75,69,-22
"860",75,70,-26
"861",77,69,-29
"862",77,70,-84
"863",77,71,-29
"864",77,72,-24
"865",77,73,-43
"866",77,201,-20.77
"867",77,215,-32.389999
"868",77,318,-20.139999
"869",77,708,-21.290001
"870",77,985,-26.220001
"871",78,5,-21
"872",78,18,-21
