O,D,Diff
41,43,-32
34,231,-32
265,11,-32
11,265,-32
253,35,-32
35,253,-32
273,12,-32
12,273,-32
91,43,-32
43,91,-32
149,143,-32
143,149,-32
210,27,-32
27,210,-32
248,35,-32
35,248,-32
232,21,-32
21,232,-32
246,23,-32
23,246,-32
154,142,-32
142,154,-32
280,34,-32
261,154,-32
154,261,-32
34,280,-32
261,66,-32
66,261,-32
208,29,-32
29,208,-32
84,34,-32
34,84,-32
143,3,-32
3,143,-32
261,174,-32
174,261,-32
366,107,-33
107,366,-33
220,29,-33
29,220,-33
48,45,-33
45,48,-33
69,35,-33
35,69,-33
366,261,-33
261,366,-33
259,11,-33
11,259,-33
434,430,-33
430,434,-33
261,152,-33
152,261,-33
283,261,-33
261,283,-33
152,115,-33
115,152,-33
246,3,-33
3,246,-33
239,34,-33
34,239,-33
47,13,-33
13,47,-33
79,11,-33
11,79,-33
284,103,-33
103,284,-33
261,120,-33
120,261,-33
353,287,-33
287,353,-33
155,11,-33
11,155,-33
113,11,-33
11,113,-33
237,232,-33
232,237,-33
113,34,-33
34,113,-33
261,79,-33
207,21,-33
79,261,-33
21,207,-33
87,60,-33
60,87,-33
246,38,-33
38,246,-33
158,150,-33
150,158,-33
207,2,-33
2,207,-33
248,103,-33
103,248,-33
150,41,-33
41,150,-33
31,13,-33
13,31,-33
219,25,-34
195,95,-34
95,195,-34
25,219,-34
288,11,-34
11,288,-34
261,48,-34
48,261,-34
249,34,-34
34,249,-34
239,233,-34
233,239,-34
79,31,-34
31,79,-34
261,177,-34
177,261,-34
300,261,-34
261,300,-34
354,256,-34
256,354,-34
69,38,-34
38,69,-34
218,25,-34
25,218,-34
87,57,-34
57,87,-34
292,261,-34
261,292,-34
260,13,-34
13,260,-34
297,261,-34
261,297,-34
71,69,-34
69,71,-34
246,50,-34
50,246,-34
72,5,-34
5,72,-34
46,43,-34
43,46,-34
261,49,-34
49,261,-34
205,2,-34
2,205,-34
392,261,-34
261,392,-34
208,41,-34
41,208,-34
247,34,-34
34,247,-34
364,105,-34
105,364,-34
90,44,-34
44,90,-34
272,34,-34
34,272,-34
231,1,-34
1,231,-34
232,22,-35
22,232,-35
155,147,-35
147,155,-35
269,34,-35
34,269,-35
231,42,-35
70,42,-35
42,231,-35
42,70,-35
261,176,-35
176,261,-35
207,25,-35
25,207,-35
79,69,-35
