O,D,Diff
739,484,-21.440001
739,489,-23
739,490,-67.849998
739,491,-22.780001
739,730,-24.299999
739,738,-176.419998
739,740,-647.249939
739,741,-702.589966
739,742,-63.380001
739,743,-355.830017
739,744,-40.519997
739,745,-53.889999
739,746,-34.060001
739,752,-22.98
740,738,-90.620003
740,739,-643.409973
740,741,-79.589996
740,743,-107.660004
741,466,-41.400002
741,738,-34.57
741,739,-734.100037
741,740,-81.059998
741,742,-24.799999
741,743,-911.929932
741,744,-125.190002
741,745,-131.519989
741,746,-88.089996
741,747,-39.440002
741,751,-31.74
741,752,-46.019997
741,755,-23.16
742,739,-62.840004
742,741,-24.33
742,743,-29.349998
742,751,-21.4
743,466,-31.559999
743,490,-27.109999
743,738,-25.379999
743,739,-375.380005
743,740,-112.369995
743,741,-918.050049
743,742,-30.739998
743,744,-179.770004
743,745,-266.070007
743,746,-197.880005
743,747,-72.270004
743,748,-21.970001
743,749,-29.610001
743,751,-53.169998
743,752,-89.949997
743,753,-28.5
743,754,-25.050001
743,755,-34.27
744,739,-42.720001
744,741,-127.589996
744,743,-181.589996
744,745,-224.499985
744,746,-163.549988
744,747,-54.970001
744,751,-40.990002
744,752,-72.490005
744,753,-23.489998
744,755,-28.049999
745,739,-52.610001
745,741,-125.860001
745,743,-251.970001
745,744,-213.330002
745,751,-176.910004
746,739,-31.750002
746,741,-81.050003
746,743,-180.190002
746,744,-149.459991
746,751,-103.550003
747,741,-39.100002
747,743,-70.019997
747,744,-52.869999
747,751,-37.66
748,743,-21.74
749,743,-28.75
749,751,-20.5
751,741,-32.779999
751,742,-22.779999
751,743,-54.089996
751,744,-41.360001
751,745,-187.059998
751,746,-113.549995
751,747,-39.450001
751,749,-21.440001
751,752,-313.319977
751,753,-67.190002
751,754,-47.920002
751,755,-54.629997
751,756,-28.080002
751,775,-23.530001
752,739,-23.43
752,741,-45.539997
752,743,-87.82
752,744,-70.309998
752,751,-302.400024
753,743,-27.68
753,744,-22.65
753,751,-64.519997
754,743,-25.27
754,751,-47.260002
755,741,-23.09
755,743,-33.440002
755,744,-27.139999
755,751,-52.620003
756,751,-27.490002
775,751,-22.279999
938,985,-25.23
939,953,-25.519999
941,953,-109.959999
942,953,-38.540001
949,953,-74.07
950,953,-34.009998
951,953,-34.829998
952,953,-22.24
953,939,-26.41
953,941,-114.529999
953,942,-39.580002
953,947,-21.049999
953,949,-79.360001
953,950,-34.799999
953,951,-33.41
953,952,-21.57
953,954,-49.810001
953,955,-54.649998
953,956,-71.18
953,957,-28.299999
953,960,-23.9
954,953,-49.100002
955,953,-54.879997
956,953,-71.18
957,953,-27.59
960,953,-24.190001
961,423,-23.5
961,425,-21.16
961,439,-35.790001
961,688,-21.02
961,701,-28.4
961,703,-20.049999
961,704,-31.879999
961,706,-20.920002
961,711,-60.110001
961,717,-40.970001
961,720,-25.450001
961,721,-98.630005
961,722,-120.600006
961,723,-81.349998
961,724,-22.52
961,725,-39.07
961,726,-25.6
961,728,-82.739998
961,964,-77.439995
961,970,-30.099998
961,974,-29.959999
961,975,-20.43
961,976,-26.290001
961,979,-31.84
961,982,-31.52
961,983,-25.17
961,984,-29.459999
961,985,-66.230003
962,704,-20.709999
962,711,-43.529999
962,717,-27.52
962,721,-55.48
962,722,-58.089996
962,723,-60.290001
962,724,-42.360001
962,725,-20.279999
962,726,-39.919998
962,728,-147.960007
962,964,-76.910004
962,970,-37.439999
962,982,-25.349998
962,985,-21.349998
963,439,-23.360001
963,701,-24.050001
963,704,-27.75
963,711,-44.040001
963,717,-30.530001
963,721,-58.550003
963,722,-68.279999
963,723,-60.620003
963,725,-26.65
963,728,-50.040001
963,964,-177.279999
963,970,-104.409996
963,974,-22.279999
963,976,-23.360001
963,979,-27.200001
963,982,-27.560001
963,983,-27.09
963,984,-20.25
963,985,-49.82
964,701,-25.400002
964,704,-25.970001
964,711,-56.129997
964,717,-35.209999
964,721,-59.900002
964,722,-61.209999
964,723,-79.580002
964,725,-27.17
964,728,-33.709999
964,961,-84.839996
964,962,-81.169998
964,963,-185.820007
964,966,-121.379997
964,969,-20.780001
964,970,-38.34
964,971,-22.539999
964,982,-25.33
965,971,-41.529999
965,975,-30.360001
965,982,-38.380001
965,985,-87.880005
966,423,-20.639999
966,439,-28.629999
966,701,-23.900002
966,704,-30.900002
966,706,-20.459999
966,711,-53.209999
966,717,-41.060001
966,720,-30.209999
966,721,-101.68
966,722,-406.879974
966,723,-70.979996
966,724,-31.209999
966,725,-41.149998
966,728,-26.720001
966,964,-113.900009
966,967,-22.940001
966,968,-26.620001
966,970,-55.150002
966,972,-32.759998
966,974,-45.240002
966,975,-35.760002
966,976,-29.699999
966,979,-46.48
966,980,-27.02
966,982,-25.91
966,983,-26.150002
966,984,-36.610001
966,985,-117.25
967,966,-24.299999
967,969,-22.08
967,971,-54.629997
967,975,-37.959999
967,982,-62.279999
967,985,-101.909996
968,966,-27.919998
968,969,-26.860001
968,971,-74.980003
968,975,-48.84
968,982,-72.160004
968,985,-151.220001
969,439,-30.220001
969,704,-23.480001
969,711,-39.280003
969,717,-24.75
969,721,-52.98
969,722,-61.990005
969,723,-58.200001
969,725,-24.48
969,967,-21.689999
969,968,-26.869999
969,970,-68.470001
969,972,-30.390001
969,974,-63.460003
969,975,-44.760002
969,976,-61.179996
969,979,-52.950001
969,980,-34.099998
969,981,-22.439999
969,982,-67.059998
969,983,-43.529999
969,984,-52.510002
969,985,-133.779999
970,721,-24.299999
970,722,-32.130001
970,723,-25.030001
970,961,-30.630001
970,962,-35.690002
970,963,-100.540009
970,964,-35.799999
970,966,-57.490002
970,969,-69.790001
970,971,-52.200001
970,974,-28.709999
970,975,-20.42
970,976,-27.240002
970,979,-29.009998
970,982,-29.93
970,983,-22.65
970,984,-30.09
970,985,-61.599998
971,439,-22.059999
971,704,-20.880001
971,711,-31.780001
971,717,-21.42
971,721,-36.84
971,722,-51.66
971,723,-46.330002
971,725,-20.399998
971,964,-21.23
971,965,-42.309998
971,967,-53.719997
971,968,-75.449997
971,970,-52.309998
971,972,-71.059998
971,974,-148.089996
971,975,-122.599998
971,976,-130.110016
971,979,-103.57
971,980,-86.759995
971,981,-45.27
971,982,-131.48999
971,983,-90.089996
971,984,-112.610001
971,985,-293.040009
972,722,-22.380001
972,966,-34.900002
972,969,-31.369999
972,971,-73.299995
972,975,-48.850002
972,982,-78.220001
972,985,-142.710007
974,722,-28.16
974,961,-30.48
974,963,-21.639999
974,966,-47.299999
974,969,-64.159996
974,970,-28.790001
974,971,-147.699997
974,975,-114.700005
974,982,-116.889999
974,985,-276.850006
975,722,-23.029999
975,723,-20.08
975,961,-21.299999
975,965,-31.84
975,966,-38.119999
975,967,-38.299999
975,968,-50.419998
975,969,-46.709999
975,970,-20.959999
975,971,-125.87999
975,972,-48.419998
975,974,-118.080002
975,976,-103.559998
975,979,-75.690002
975,980,-64.790001
975,981,-37.77
975,982,-107.080002
975,983,-66.889999
975,984,-79.410004
975,985,-211
976,961,-26.01
976,963,-22.35
976,966,-30.260002
976,969,-61.060001
976,970,-26.85
976,971,-128.779999
976,975,-100.620003
976,982,-52.900002
976,985,-278.639984
978,982,-74.279999
978,985,-26.690001
979,722,-32.260002
979,961,-32.030003
979,963,-25.980001
979,966,-48.700001
979,969,-53.57
979,970,-29.170002
979,971,-105.609993
979,975,-75.290001
979,982,-253.899994
979,985,-215.859985
980,966,-28.25
980,969,-34.34
980,971,-86.489998
980,975,-62.920002
980,982,-69.68
980,985,-172.259995
981,969,-22.360001
981,971,-44.950001
981,975,-36.68
981,982,-91.410004
981,985,-94.399994
982,961,-30.23
982,962,-24.09
982,963,-25.66
982,964,-24.040001
982,965,-36.469997
982,966,-25.040001
982,967,-59.379997
982,968,-69.210007
982,969,-64.800003
982,970,-28.810001
982,971,-127.030006
982,972,-74.009995
982,974,-112.439995
982,975,-101.93
982,976,-51.269997
982,978,-69.649994
982,979,-238.230011
982,980,-66.910004
982,981,-87.440002
982,983,-90.189995
982,984,-159.690002
982,985,-282.369995
982,986,-63.120003
983,722,-22.450001
983,961,-23.949999
983,963,-25.15
983,966,-25.719999
983,969,-41.290001
983,970,-21.610001
983,971,-86.260002
983,975,-62.799999
983,982,-92.440002
983,985,-206.73999
984,722,-22.469999
984,961,-29.560001
984,966,-37.900002
984,969,-52.389999
984,970,-30.120001
984,971,-112.429993
984,975,-77.480003
984,982,-167.73999
984,985,-231.770004
985,77,-26.290001
985,670,-25.219999
985,684,-30.800001
985,685,-30.679998
985,711,-49.099998
985,714,-20.939999
985,715,-22.16
985,717,-33.370003
985,721,-59.919998
985,722,-77.779999
985,723,-70.949997
985,725,-28.260002
985,938,-26.309999
985,961,-69.510002
985,962,-20.629999
985,963,-49.830002
985,965,-92.559998
985,966,-125.650002
985,967,-103.580002
985,968,-157.960007
985,969,-141.410004
985,970,-63.830002
985,971,-305.160004
985,972,-142.75
985,974,-288.220001
985,975,-214.819992
985,976,-289.299988
985,978,-26.139999
985,979,-220.179993
985,980,-179.900009
985,981,-98.18
985,982,-297.02002
985,983,-220.98999
985,984,-239.920013
985,986,-31.84
986,982,-68.229996
986,985,-34.240002
