Z	DtaMerge_base	DtaMerge_1ft	DtaMerge_2ft	DtaMerge_3ft	DtaMerge_4ft	DtaMerge_5ft	DtaMerge_6ft
264	0.048341279	0.042093384	0.032235054	0.023701876	0.015431654	0.012476061	0.011640684
265	0.048823915	0.042109575	0.031223169	0.022600947	0.010238911	0.000000000	0.000000000
266	0.045668131	0.039193611	0.028412923	0.020774691	0.012006276	0.000000000	0.000000000
267	0.044462649	0.037778672	0.026429845	0.019620955	0.010630038	0.000000000	0.000000000
268	0.045496471	0.036994267	0.023405387	0.017334201	0.008268346	0.000000000	0.000000000
269	0.047703642	0.041713813	0.031759298	0.023988626	0.016735582	0.014503920	0.013855325
270	0.046429971	0.040804540	0.031818400	0.024352235	0.017597286	0.015750354	0.015409977
271	0.047480490	0.041043537	0.029983776	0.022474038	0.015219027	0.013173621	0.012262626
272	0.046321205	0.039848447	0.029303710	0.022357708	0.015849149	0.014425163	0.013640455
273	0.047667526	0.040817501	0.027045171	0.020549124	0.014256631	0.012840132	0.011504708
274	0.048435402	0.040452349	0.027099685	0.020875406	0.013906511	0.010338339	0.000000000
275	0.042142224	0.037369087	0.027776289	0.022848334	0.016875872	0.015444183	0.015082913
276	0.047215313	0.041981460	0.032647828	0.025578141	0.018864038	0.017538988	0.017312777
277	0.047258049	0.042250351	0.031803925	0.024527883	0.017825275	0.016349958	0.015997343
278	0.044899909	0.040470792	0.029466099	0.022788739	0.016404846	0.015366205	0.014711198
279	0.042147876	0.037792881	0.030671471	0.022603824	0.017355417	0.015983091	0.015456409
280	0.040657446	0.036097010	0.028510683	0.021853152	0.016234588	0.015796272	0.015335674
281	0.044052956	0.039485312	0.030386259	0.023602717	0.017141930	0.016496825	0.016085668
282	0.040871997	0.036141033	0.027062987	0.020949909	0.015024960	0.014559818	0.013622071
283	0.041192767	0.036256385	0.027741281	0.022132050	0.016102899	0.016288341	0.015835219
284	0.038915139	0.032510746	0.025244876	0.018837142	0.015635284	0.014623073	0.014580472
285	0.037787454	0.032585285	0.026744227	0.019355621	0.014028897	0.013993516	0.013862833
286	0.037640532	0.031353766	0.025711501	0.020349757	0.016061074	0.014940369	0.015414804
287	0.038501247	0.034368026	0.028707360	0.019283307	0.014258892	0.013196689	0.012501139
288	0.038084173	0.033297511	0.028405926	0.018400162	0.013638305	0.012293943	0.011290244
