X,Y,masterid,start,end,time_diff,short_span,bc_ped_noi,bc_ped_nof,bc_ped_svA,bc_ped_svB,bc_ped_svC,bc_ped_svO,bc_ped_c_score,ac_ped_noi,ac_ped_nof,ac_ped_svA,ac_ped_svB,ac_ped_svC,ac_ped_svO,ac_ped_c_score,d_ped_noi,d_ped_nof,d_ped_svA,d_ped_svB,d_ped_svC,d_ped_svO,d_ped_c_score,sip_id,combo_treatment
-74.153343777623419,40.534834274775065,953,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.153154397574681,40.5349986549382,1910,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.152619276425497,40.535457514544099,21060,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.15202105896509,40.535968079501075,658,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.151507920359947,40.536423472247968,9917,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.151063397365192,40.536802863856991,3325,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.150610936651489,40.537185558573555,21890,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.15001121442738,40.537701328982777,24904,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,1,0,0,1,0,0,4,2,0,0,1,1,0,6,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.149586638870943,40.538075073954722,1049,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.149351217879413,40.53833553110718,33078,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
