x,y,sip_id_x,masterid,start,end,before_crash,after_crash,short_span,pdiff,sip_id_y,combo_treatment
-73.987024651640539,40.60603057497967,09-RIS-14.0,41412,2010-03-14 00:00:00,2010-04-20 00:00:00,2,5,-1,0.6,09-RIS-14.0,"(""Parking Markings-Non-Bike WPL-None"",""Moving Lane Changes-Removed-None"")"
-74.02019276891933,40.639135375289548,12-RIS-10.0,37376,2012-08-20 00:00:00,2012-11-19 00:00:00,2,1,-1,-1,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Turn Bays-None--1"",""Turn Restrictions-None--1"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"",""Added Median (Non-Tips)-Flush-None"")"
-74.019018017019008,40.640259749949863,12-RIS-10.0,17205,2012-08-20 00:00:00,2012-11-19 00:00:00,2,3,-1,0.333333333333333,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"")"
-74.017351101225913,40.638341149767498,13-BP-05.0,5389,2013-06-06 00:00:00,2013-06-26 00:00:00,1,1,553,0,13-BP-05.0,"(""Bike Facility-Sharrows-Consistent"",""Parking Markings-Parking Stripe-None"",""Bike Facility-Sharrows-Consistent"",""Parking Markings-Parking Stripe-None"")"
-74.018427104744177,40.640835493298695,12-RIS-10.0,1197,2012-08-20 00:00:00,2012-11-19 00:00:00,9,7,-1,-0.285714285714286,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Added Median (Non-Tips)-Flush-None"",""Added Median (Non-Tips)-Flush-None"",""Parking Markings-Bike WPL-None"",""Parking Markings-Bike WPL-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"")"
-74.017814244516543,40.641436025845202,12-RIS-10.0,11034,2012-08-20 00:00:00,2012-11-19 00:00:00,3,2,-1,-0.5,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"",""Added Median (Non-Tips)-Flush-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Parking Markings-Bike WPL-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"")"
-74.016768371766588,40.638899008484437,13-BP-05.0,31268,2013-06-06 00:00:00,2013-06-26 00:00:00,1,1,553,0,13-BP-05.0,"(""Parking Markings-Parking Stripe-None"",""Bike Facility-Sharrows-Consistent"",""Bike Facility-Sharrows-Consistent"",""Parking Markings-Parking Stripe-None"")"
-74.016167114575438,40.639482440646596,13-BP-05.0,23661,2013-06-06 00:00:00,2013-06-26 00:00:00,2,1,553,-1,13-BP-05.0,"(""Parking Markings-Parking Stripe-None"",""Parking Markings-Parking Stripe-None"",""Bike Facility-Sharrows-Consistent"",""Bike Facility-Sharrows-Consistent"")"
-74.015562667054638,40.64006663639919,13-BP-05.0,14297,2013-06-06 00:00:00,2013-06-26 00:00:00,3,1,553,-2,13-BP-05.0,"(""Parking Markings-Parking Stripe-None"",""Bike Facility-Sharrows-Consistent"",""Parking Markings-Parking Stripe-None"",""Bike Facility-Sharrows-Consistent"")"
-74.017233921016,40.641986691513509,12-RIS-10.0,4977,2012-08-20 00:00:00,2012-11-19 00:00:00,5,4,-1,-0.25,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Crosswalk Markings-High Vis--1"",""Moving Lane Changes-Narrowed-None"",""Added Median (Non-Tips)-Flush-None"",""Crosswalk Markings-High Vis--1"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"",""Parking Markings-Bike WPL-None"",""Crosswalk Markings-High Vis--1"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"")"
-74.016068754461045,40.643107626377294,12-RIS-10.0,17003,2012-08-20 00:00:00,2012-11-19 00:00:00,1,1,-1,0,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Parking Markings-Bike WPL-None"",""Moving Lane Changes-Narrowed-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"")"
-74.015487498736093,40.643668182952936,12-RIS-10.0,23113,2012-08-20 00:00:00,2012-11-19 00:00:00,6,1,-1,-5,12-RIS-10.0,"(""Added Median (Tips-Only)-None--1"",""Added Median (Tips-Only)-None--1"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Bike WPL-None"",""Moving Lane Changes-Removed-None"",""Parking Markings-Bike WPL-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"")"
-73.984773590319222,40.576626322665888,09-TP-03.0,583,2009-08-31 00:00:00,2009-09-02 00:00:00,5,8,-1,0.375,09-TP-03.0,"(""Moving Lane Changes-Direction Change-2 to 1"",""Moving Lane Changes-Direction Change-2 to 1"")"
-73.999702812460811,40.596261743114191,09-TP-02.0,3658,2009-08-31 00:00:00,2009-09-18 00:00:00,9,7,-1,-0.285714285714286,09-TP-02.0,Moving Lane Changes-Added-None
-73.998655866357325,40.597268561879382,09-TP-02.0,43616,2009-08-31 00:00:00,2009-09-18 00:00:00,14,10,-1,-0.4,09-TP-02.0,Moving Lane Changes-Added-None
-73.985210638913017,40.57893714280857,09-TP-03.0,3940,2009-08-31 00:00:00,2009-09-02 00:00:00,5,7,-1,0.285714285714286,09-TP-03.0,Moving Lane Changes-Direction Change-2 to 1
-74.007023024375613,40.632109995530058,11-RIS-02.0,3024,2011-08-23 00:00:00,2011-10-21 00:00:00,4,2,-1,-1,11-RIS-02.0,"(""Moving Lane Changes-Narrowed-None"",""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Turn Bays-None--1"")"
-74.006306155757514,40.63258408844063,11-RIS-02.0,16610,2011-08-23 00:00:00,2011-10-21 00:00:00,2,1,-1,-1,11-RIS-02.0,"(""Parking Markings-Parking Stripe-None"",""Turn Bays-None--1"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Narrowed-None"")"
-74.005564904399833,40.633083176452821,11-RIS-02.0,36859,2011-08-23 00:00:00,2011-10-21 00:00:00,11,6,-1,-0.833333333333333,11-RIS-02.0,"(""Added Median (Non-Tips)-Flush-None"",""Added Median (Non-Tips)-Flush-None"",""Turn Bays-None--1"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Narrowed-None"",""Parking Markings-Parking Stripe-None"",""Turn Bays-None--1"",""Parking Markings-Parking Stripe-None"")"
-73.979697358884906,40.608077362615013,10-RIS-07.0,22825,2010-05-20 00:00:00,2010-06-18 00:00:00,2,4,-1,0.5,10-RIS-07.0,"(""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Removed-None"",""Parking Markings-Parking Stripe-None"",""Turn Bays-None--1"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Turn Bays-None--1"")"
-73.980181523487659,40.610634009526237,10-RIS-07.0,32086,2010-05-20 00:00:00,2010-06-18 00:00:00,6,1,-1,-5,10-RIS-07.0,"(""Ped Ramps-None--1"",""Parking Markings-Parking Stripe-None"",""Ped Refuge Island-None--1"",""Turn Bays-None--1"",""Tactile Strips-None--1"",""Tree Pits-None--1"",""Moving Lane Changes-Removed-None"",""Added Median (Non-Tips)-Flush-None"",""Added Median (Non-Tips)-Flush-None"",""Turn Restrictions-None--1"",""Parking Markings-Parking Stripe-None"",""Moving Lane Changes-Removed-None"")"
