O,D,VAL
5300000000000060,5319910000000105,10
5300000000000060,5319910000000110,15
5300000000000060,5319910000000114,20
5300000000000060,532003020000TAD3,45
5300000000000060,7205260000000048,10
5300000000000060,7205260000000051,15
5300000000000060,7205260000000052,10
5300000000000060,7205260000000053,10
5300000000000060,7205260000000054,45
5300000000000060,7205260000000055,85
5300000000000060,7205260000000056,35
5300000000000060,7205260000000057,40
5300000000000060,7205260000000058,85
5300000000000060,7218530000000017,15
5300000000000061,0619750120260003,4
5300000000000061,4100000000000030,30
5300000000000061,4100000000000033,20
5300000000000061,5300000000000061,1525
5300000000000061,5300000000000062,145
5300000000000061,5300000000000063,330
5300000000000061,5300000000000064,170
5300000000000061,5300000000000065,100
5300000000000061,5319710000000002,10
5300000000000061,5319710000000003,15
5300000000000061,5319710000000010,15
5300000000000061,5319710000000011,4
5300000000000061,5319710000000013,75
5300000000000061,5319910000000023,10
5300000000000061,5319910000000031,4
5300000000000061,5319910000000046,10
5300000000000061,5319910000000051,15
5300000000000061,5319910000000118,4
5300000000000061,532003020000TAD1,10
5300000000000061,532003020000TAD2,15
5300000000000061,532003020000TAD3,10
5300000000000061,7205260000000052,15
5300000000000061,7205260000000054,20
5300000000000061,7205260000000057,25
5300000000000061,7205260000000058,10
5300000000000061,7218530000000002,20
5300000000000062,5300000000000061,145
5300000000000062,5300000000000062,2690
5300000000000062,5300000000000063,640
5300000000000062,5300000000000064,545
5300000000000062,5300000000000065,25
5300000000000062,5319710000000003,15
5300000000000062,5319820100000003,25
5300000000000062,5319910000000007,10
5300000000000062,5319910000000022,10
5300000000000062,5319910000000046,10
5300000000000062,5319910000000082,15
5300000000000062,532003020000TAD1,135
5300000000000062,532003020000TAD2,40
5300000000000062,532003020000TAD3,10
5300000000000062,532003020000TAD4,20
5300000000000062,7218530000000006,20
5300000000000062,7218530000000013,15
5300000000000062,7218530000000022,15
5300000000000063,0619700100000073,10
5300000000000063,0619700100000200,15
5300000000000063,1900000000000125,4
5300000000000063,44197400000001JN,10
5300000000000063,4920020000UDOT12,4
5300000000000063,5300000000000013,4
5300000000000063,5300000000000061,40
5300000000000063,5300000000000062,525
5300000000000063,5300000000000063,2605
5300000000000063,5300000000000064,1155
5300000000000063,5300000000000065,35
5300000000000063,5300000000000068,40
5300000000000063,5319710000000002,15
5300000000000063,5319710000000003,110
5300000000000063,5319710000000006,10
5300000000000063,5319710000000013,25
5300000000000063,5319820100000002,15
5300000000000063,5319910000000030,20
5300000000000063,5319910000000045,4
5300000000000063,5319910000000094,4
5300000000000063,5319910000000095,15
5300000000000063,532003020000TAD1,40
5300000000000063,532003020000TAD2,4
5300000000000063,532003020000TAD3,25
5300000000000063,532003020000TAD4,90
5300000000000063,7205260000000057,20
5300000000000063,7218510000000008,10
5300000000000063,7218530000000015,15
5300000000000063,7218530000000016,10
5300000000000064,5300000000000061,90
5300000000000064,5300000000000062,190
5300000000000064,5300000000000063,2105
5300000000000064,5300000000000064,3010
5300000000000064,5300000000000065,80
5300000000000064,5319710000000006,20
5300000000000064,5319710000000012,65
5300000000000064,5319710000000013,10
5300000000000064,5319910000000022,15
5300000000000064,5319910000000028,4
5300000000000064,5319910000000093,25
5300000000000064,532003020000TAD1,40
5300000000000064,7205260000000054,4
5300000000000064,7218530000000014,10
5300000000000064,7218530000000016,25
5300000000000065,0619670000000041,4
5300000000000065,08197701000NORTH,4
5300000000000065,1619770000BS0003,15
5300000000000065,1619770000LT0004,4
5300000000000065,161977000ADA0030,4
5300000000000065,161977000IAW0006,15
5300000000000065,2277460200000006,20
5300000000000065,2277460200000017,4
5300000000000065,48000001000BEX65,10
5300000000000065,5300000000000061,75
5300000000000065,5300000000000062,4
5300000000000065,5300000000000063,65
5300000000000065,5300000000000064,60
5300000000000065,5300000000000065,2875
5300000000000065,5300000000000066,85
5300000000000065,5300000000000067,25
5300000000000065,5300000000000068,35
5300000000000065,5319710000000002,4
5300000000000065,5319710000000003,4
5300000000000065,5319710000000006,25
5300000000000065,5319710000000007,15
5300000000000065,5319710000000010,30
5300000000000065,5319710000000011,15
5300000000000065,5319710000000012,50
5300000000000065,5319710000000013,290
5300000000000065,5319910000000014,4
5300000000000065,5319910000000047,15
5300000000000065,5319910000000063,4
5300000000000065,7205260000000048,4
5300000000000065,7205260000000051,10
5300000000000065,7205260000000058,4
5300000000000065,7218530000000001,20
5300000000000065,7218530000000002,20
5300000000000065,7218530000000005,40
5300000000000065,7218530000000006,4
5300000000000065,7218530000000007,15
5300000000000065,7218530000000008,10
5300000000000065,7218530000000009,15
5300000000000065,7218530000000013,10
5300000000000065,7218530000000015,35
5300000000000065,7218530000000016,70
5300000000000065,7218530000000017,15
5300000000000065,7218530000000018,4
5300000000000065,7218530000000019,4
5300000000000065,7218530000000020,35
5300000000000065,7218530000000021,4
5300000000000065,7218530000000022,10
5300000000000065,7218530000000032,15
5300000000000065,7218530000000034,30
5300000000000065,72571000NEZPERCE,4
5300000000000066,0619800000000055,4
5300000000000066,1619770000BB0002,4
5300000000000066,1619770000LT0004,280
5300000000000066,161977000ADA0044,20
5300000000000066,2277460200000007,4
5300000000000066,4819730100WK0031,10
5300000000000066,5300000000000064,4
5300000000000066,5300000000000065,10
5300000000000066,5300000000000066,2715
5300000000000066,5300000000000067,1060
5300000000000066,5300000000000069,4
5300000000000066,5319710000000001,10
5300000000000066,5319710000000002,20
5300000000000066,5319710000000003,4
5300000000000066,5319710000000006,4
5300000000000066,5319710000000011,4
5300000000000066,5319710000000013,4
5300000000000066,5319710000000015,230
5300000000000066,5319910000000001,20
5300000000000066,5319910000000029,15
5300000000000066,5319910000000033,10
5300000000000066,5319910000000042,25
5300000000000066,7204980000000082,15
5300000000000066,7204980000000110,4
5300000000000066,7205260000000051,4
5300000000000066,7205260000000058,4
5300000000000066,7214220000000149,20
5300000000000066,7218530000000001,10
5300000000000066,7218530000000002,25
5300000000000066,7218530000000003,4
5300000000000066,7218530000000004,20
5300000000000066,7218530000000005,4
5300000000000066,7218530000000008,10
5300000000000066,7218530000000012,4
5300000000000066,7218530000000013,15
5300000000000066,7218530000000014,4
5300000000000066,7218530000000015,4
5300000000000066,7218530000000016,45
5300000000000066,7218530000000017,4
5300000000000066,7218530000000018,10
5300000000000066,7218530000000020,15
5300000000000066,7218530000000022,15
5300000000000066,7218530000000030,4
5300000000000066,7218530000000032,25
5300000000000066,7218530000000034,10
5300000000000066,7255630000000021,15
5300000000000066,72563500EOFSTEAD,4
5300000000000066,7257100000ASOTIN,70
5300000000000066,72571000NEZPERCE,110
5300000000000067,0619700100000042,10
5300000000000067,1619770000LT0004,210
5300000000000067,2277463000000027,15
5300000000000067,5300000000000065,15
5300000000000067,5300000000000066,400
5300000000000067,5300000000000067,2205
5300000000000067,5319710000000001,15
5300000000000067,5319710000000002,25
5300000000000067,5319710000000012,65
5300000000000067,5319910000000014,45
5300000000000067,5319910000000038,10
5300000000000067,5319910000000042,15
5300000000000067,5319910000000058,10
5300000000000067,5319910000000063,35
5300000000000067,5319910000000091,4
5300000000000067,5319910000000094,10
5300000000000067,5319910000000110,10
5300000000000067,5319910000000120,15
5300000000000067,5319920000000045,10
5300000000000067,532003020000TAD4,10
5300000000000067,7218530000000006,50
5300000000000067,7218530000000009,20
5300000000000067,7218530000000022,10
5300000000000067,7257100000ASOTIN,20
5300000000000067,72571000NEZPERCE,55
5300000000000068,0219680000000005,4
5300000000000068,161977000CAN0049,10
5300000000000068,1619820000000003,4
5300000000000068,4019650000000063,20
5300000000000068,4019650000000101,25
5300000000000068,5300000000000060,4
5300000000000068,5300000000000063,10
5300000000000068,5300000000000064,50
5300000000000068,5300000000000065,35
5300000000000068,5300000000000067,30
5300000000000068,5300000000000068,1850
5300000000000068,5300000000000069,75
5300000000000068,5300000000000070,20
5300000000000068,5319710000000002,4
5300000000000068,5319710000000003,4
5300000000000068,5319710000000013,4
5300000000000068,5319910000000038,10
5300000000000068,5319910000000056,25
5300000000000068,5319910000000090,4
5300000000000068,532003020000TAD4,20
5300000000000068,532003020000TAD5,4
5300000000000068,532003020000TAD6,15
5300000000000068,7205260000000054,4
5300000000000068,7205260000000055,4
5300000000000068,7205260000000057,4
5300000000000068,7218530000000001,15
5300000000000068,7218530000000002,20
5300000000000068,7218530000000004,4
5300000000000068,7218530000000005,175
5300000000000068,7218530000000006,45
5300000000000068,7218530000000007,15
5300000000000068,7218530000000009,90
5300000000000068,7218530000000012,4
5300000000000068,7218530000000013,20
5300000000000068,7218530000000014,35
5300000000000068,7218530000000015,85
5300000000000068,7218530000000016,155
5300000000000068,7218530000000017,20
5300000000000068,7218530000000018,65
5300000000000068,7218530000000019,4
5300000000000068,7218530000000020,70
5300000000000068,7218530000000021,10
5300000000000068,7218530000000022,40
5300000000000069,0219680000000011,10
5300000000000069,0619720100000013,4
5300000000000069,0619750120450001,4
5300000000000069,1619770000BB0001,65
5300000000000069,1619770000BB0002,70
5300000000000069,1619770000TF0020,10
5300000000000069,1619920000000100,4
5300000000000069,1719620144145974,20
5300000000000069,4019650000000038,4
5300000000000069,4100000000000003,20
5300000000000069,4100000000000042,10
5300000000000069,5100000010000014,4
5300000000000069,5300000000000063,10
5300000000000069,5300000000000068,35
5300000000000069,5300000000000069,5205
5300000000000069,5300000000000070,120
5300000000000069,5319710000000012,4
5300000000000069,5319820100000002,20
5300000000000069,5319820100000005,4
5300000000000069,5319910000000092,15
5300000000000069,5319910000000119,20
5300000000000069,7205260000000058,4
5300000000000069,7208340000008509,15
5300000000000069,7214220000000133,25
5300000000000069,7218510000000003,4
5300000000000069,7218510000000004,4
5300000000000069,7218530000000001,10
5300000000000069,7218530000000002,15
5300000000000069,7218530000000003,30
5300000000000069,7218530000000004,150
5300000000000069,7218530000000005,35
5300000000000069,7218530000000006,25
5300000000000069,7218530000000007,65
5300000000000069,7218530000000008,20
5300000000000069,7218530000000009,45
5300000000000069,7218530000000010,10
5300000000000069,7218530000000011,45
5300000000000069,7218530000000012,15
5300000000000069,7218530000000013,75
5300000000000069,7218530000000014,40
5300000000000069,7218530000000015,120
5300000000000069,7218530000000016,240
5300000000000069,7218530000000017,90
5300000000000069,7218530000000018,10
5300000000000069,7218530000000019,20
5300000000000069,7218530000000020,190
5300000000000069,7218530000000021,30
5300000000000069,7218530000000022,35
5300000000000069,7218530000000033,20
5300000000000070,0619670000000070,4
5300000000000070,0619700100000156,15
5300000000000070,0619720200000068,20
5300000000000070,0619750121640003,4
5300000000000070,0619750152650005,55
5300000000000070,0620030200000031,15
5300000000000070,0620030200000033,10
5300000000000070,081977010DNVRCBD,4
5300000000000070,3619820100003025,10
5300000000000070,4100000000000032,4
5300000000000070,5300000000000064,4
5300000000000070,5300000000000068,4
5300000000000070,5300000000000069,380
5300000000000070,5300000000000070,1345
5300000000000070,5319710000000003,4
5300000000000070,5319710000000005,4
5300000000000070,5319820100000006,10
5300000000000070,5319910000000016,25
5300000000000070,5319910000000056,4
5300000000000070,5319910000000078,10
5300000000000070,5319910000000102,10
5300000000000070,5319920000000036,4
5300000000000070,532003020000TAD3,10
5300000000000070,7204980000000107,10
5300000000000070,7204980000000108,4
5300000000000070,7218530000000001,65
5300000000000070,7218530000000002,15
5300000000000070,7218530000000003,125
5300000000000070,7218530000000004,430
5300000000000070,7218530000000005,460
5300000000000070,7218530000000006,425
5300000000000070,7218530000000007,85
5300000000000070,7218530000000008,60
5300000000000070,7218530000000009,345
5300000000000070,7218530000000010,35
5300000000000070,7218530000000011,45
5300000000000070,7218530000000012,10
5300000000000070,7218530000000013,70
5300000000000070,7218530000000014,125
5300000000000070,7218530000000015,465
5300000000000070,7218530000000016,745
5300000000000070,7218530000000017,175
5300000000000070,7218530000000018,85
5300000000000070,7218530000000019,90
5300000000000070,7218530000000020,365
5300000000000070,7218530000000021,10
5300000000000070,7218530000000022,250
5300000000000070,7218530000000030,30
5300000000000070,7218530000000032,50
5300000000000070,7218530000000033,15
5300000000000070,7218530000000034,4
5319710000000001,4100000000000023,35
5319710000000001,5319710000000001,1210
5319710000000001,5319710000000002,2800
5319710000000001,5319710000000003,1620
5319710000000001,5319710000000004,380
5319710000000001,5319710000000005,770
5319710000000001,5319710000000006,480
5319710000000001,5319710000000007,190
5319710000000001,5319710000000008,50
5319710000000001,5319710000000010,140
5319710000000001,5319710000000011,280
5319710000000001,5319710000000012,630
5319710000000001,5319710000000013,20
5319710000000001,5319910000000064,15
5319710000000001,5319910000000094,10
5319710000000001,5319910000000097,30
5319710000000001,532003020000TAD4,20
5319710000000001,7204980000000124,20
5319710000000001,7204980000000149,20
5319710000000001,7205260000000052,75
5319710000000001,7205260000000058,25
5319710000000002,0619750132010002,35
5319710000000002,0619750152650004,15
5319710000000002,3100000000000011,10
5319710000000002,4100000000000023,75
5319710000000002,5319710000000001,300
5319710000000002,5319710000000002,5050
5319710000000002,5319710000000003,570
5319710000000002,5319710000000004,85
5319710000000002,5319710000000005,390
5319710000000002,5319710000000006,160
5319710000000002,5319710000000007,105
5319710000000002,5319710000000008,4
5319710000000002,5319710000000010,35
5319710000000002,5319710000000011,110
5319710000000002,5319710000000012,160
5319710000000002,5319710000000013,40
5319710000000002,5319710000000015,15
5319710000000002,5319910000000038,15
5319710000000002,5319910000000062,4
5319710000000002,5319920000000047,20
5319710000000002,532003020000TAD1,20
5319710000000002,7205260000000048,30
5319710000000002,7205260000000049,60
5319710000000002,7205260000000050,110
5319710000000002,7205260000000051,510
5319710000000002,7205260000000052,505
5319710000000002,7205260000000055,115
5319710000000002,7205260000000056,10
5319710000000002,7205260000000057,95
5319710000000002,7205260000000058,60
5319710000000002,7218530000000014,10
5319710000000003,0819770100EASTSE,10
5319710000000003,1619770000BB0001,25
5319710000000003,5319710000000001,295
5319710000000003,5319710000000002,2750
5319710000000003,5319710000000003,3200
5319710000000003,5319710000000004,470
5319710000000003,5319710000000005,1170
5319710000000003,5319710000000006,785
5319710000000003,5319710000000007,165
5319710000000003,5319710000000008,150
5319710000000003,5319710000000010,250
5319710000000003,5319710000000011,390
5319710000000003,5319710000000012,540
5319710000000003,5319710000000013,175
5319710000000003,5319910000000033,10
5319710000000003,5319910000000041,10
5319710000000003,5319910000000105,10
5319710000000003,5319910000000110,4
5319710000000003,532003020000TAD2,10
5319710000000003,7205260000000051,30
5319710000000003,7205260000000052,40
5319710000000003,7205260000000054,70
5319710000000003,7205260000000055,20
5319710000000003,7205260000000058,45
5319710000000003,7208340000011319,4
5319710000000003,7218530000000006,10
5319710000000003,7218530000000009,10
5319710000000003,7218530000000020,10
5319710000000003,72571000NEZPERCE,10
5319710000000004,0619750120660004,10
5319710000000004,0619750121560001,20
5319710000000004,0619750152760001,10
5319710000000004,1119650000001000,15
5319710000000004,1900000000000123,10
5319710000000004,2819730000000009,15
5319710000000004,4919730011000011,20
5319710000000004,5319710000000001,180
5319710000000004,5319710000000002,3145
5319710000000004,5319710000000003,1630
5319710000000004,5319710000000004,1210
