O,D,VAL
3619820100001018,3619820100001016,675
3619820100001018,3619820100001017,565
3619820100001018,3619820100001018,2720
3619820100001018,3619820100001019,415
3619820100001018,3619820100001020,190
3619820100001018,3619820100001021,165
3619820100001018,3619820100001023,260
3619820100001018,3619820100001024,105
3619820100001018,3619820100003001,345
3619820100001018,3619820100003007,110
3619820100001018,3619820100004001,160
3619820100001018,3619820100004004,110
3619820100001019,3619820100001001,1490
3619820100001019,3619820100001002,1125
3619820100001019,3619820100001003,130
3619820100001019,3619820100001004,215
3619820100001019,3619820100001005,395
3619820100001019,3619820100001006,760
3619820100001019,3619820100001007,325
3619820100001019,3619820100001008,1020
3619820100001019,3619820100001009,785
3619820100001019,3619820100001010,2805
3619820100001019,3619820100001011,900
3619820100001019,3619820100001012,375
3619820100001019,3619820100001013,385
3619820100001019,3619820100001014,460
3619820100001019,3619820100001015,385
3619820100001019,3619820100001016,590
3619820100001019,3619820100001017,400
3619820100001019,3619820100001018,495
3619820100001019,3619820100001019,1685
3619820100001019,3619820100001020,350
3619820100001019,3619820100001021,270
3619820100001019,3619820100001022,150
3619820100001019,3619820100001023,335
3619820100001019,3619820100001027,165
3619820100001019,3619820100002011,180
3619820100001019,3619820100002012,105
3619820100001019,3619820100003001,220
3619820100001019,3619820100003003,125
3619820100001019,3619820100004001,180
3619820100001019,3619820100004002,115
3619820100001019,3619820100004007,135
3619820100001019,3619820100004023,105
3619820100001020,3619820100001001,1490
3619820100001020,3619820100001002,1185
3619820100001020,3619820100001003,315
3619820100001020,3619820100001004,120
3619820100001020,3619820100001005,205
3619820100001020,3619820100001006,660
3619820100001020,3619820100001007,270
3619820100001020,3619820100001008,1170
3619820100001020,3619820100001009,555
3619820100001020,3619820100001010,3140
3619820100001020,3619820100001011,720
3619820100001020,3619820100001012,460
3619820100001020,3619820100001013,360
3619820100001020,3619820100001014,675
3619820100001020,3619820100001015,340
3619820100001020,3619820100001016,315
3619820100001020,3619820100001018,340
3619820100001020,3619820100001019,285
3619820100001020,3619820100001020,2235
3619820100001020,3619820100001021,365
3619820100001020,3619820100001022,220
3619820100001020,3619820100001023,250
3619820100001020,3619820100001025,235
3619820100001020,3619820100002011,205
3619820100001020,3619820100003001,115
3619820100001020,3619820100004001,205
3619820100001020,3619820100004007,135
3619820100001020,3619820100004036,125
3619820100001020,3619820100006002,125
3619820100001021,3619820100001001,1100
3619820100001021,3619820100001002,1060
3619820100001021,3619820100001004,250
3619820100001021,3619820100001005,115
3619820100001021,3619820100001006,845
3619820100001021,3619820100001007,195
3619820100001021,3619820100001008,1035
3619820100001021,3619820100001009,455
3619820100001021,3619820100001010,3120
3619820100001021,3619820100001011,625
3619820100001021,3619820100001012,360
