id,Zone,Area,BlockStart,BlockEnd,PayBoxAddress,Dir,StreetName,StreetSU,Address,LOC,LAT,LNG,ExistingRevenue,RevenueValue,FineLevel,NumberSpaces,Required,FullUtilizationAmount,2013_2014FullUtilization,UtilizationRate,Impacted
1080,1,476,1729,1733,1731,W,LUNT,AVE,"1731 W LUNT AVE, Chicago, IL","(42.0089739, -87.6735423)",42.0089739,-87.6735423,6029.07,6029.07,50,4,Non-CBD,22536,5634,0.2675,Impacted
1081,1,476,1755,1761,1755,W,LUNT,AVE,"1755 W LUNT AVE, Chicago, IL","(42.0088753, -87.6744203)",42.0088753,-87.6744203,6303,6303,50,4,Non-CBD,22536,5634,0.2797,Impacted
1082,1,480,2405,2409,2407,W,LUNT,AVE,"2407 W LUNT AVE, Chicago, IL","(42.0086378, -87.690463)",42.0086378,-87.690463,3028.97,3028.97,50,3,Non-CBD,16902,5634,0.1792,Impacted
1083,1,311,2804,2810,2808,W,LYNDALE,ST,"2808 W LYNDALE ST, Chicago, IL","(41.9224393, -87.6975677)",41.9224393,-87.6975677,8332.88,8332.88,50,2,Non-CBD,17528,8764,0.4754,Impacted
1084,1,311,2805,2813,2809,W,LYNDALE,ST,"2809 W LYNDALE ST, Chicago, IL","(41.922412, -87.6975495)",41.922412,-87.6975495,14125.3,14125.3,50,3,Non-CBD,26292,8764,0.5372,Impacted
1085,1,319,3151,3159,3155,N,MAJOR,AVE,"3155 N MAJOR AVE, Chicago, IL","(41.93803339999999, -87.7688886)",41.93803339999999,-87.7688886,1188.76,1188.76,50,6,Non-CBD,52584,8764,0.0226,Impacted
1086,1,319,3146,3158,3152,N,MAJOR,AVE,"3152 N MAJOR AVE, Chicago, IL","(41.9380485, -87.7689261)",41.9380485,-87.7689261,273.98,273.98,50,6,Non-CBD,52584,8764,0.0052,Impacted
1087,1,319,3203,3213,3209,N,MAJOR,AVE,"3209 N MAJOR AVE, Chicago, IL","(41.9387981, -87.7689189)",41.9387981,-87.7689189,9843.84,9843.84,50,7,Non-CBD,61348,8764,0.1605,Impacted
1088,1,319,3202,3214,3206,N,MAJOR,AVE,"3206 N MAJOR AVE, Chicago, IL","(41.9388507, -87.7689932)",41.9388507,-87.7689932,5557.66,5557.66,50,7,Non-CBD,61348,8764,0.0906,Impacted
1089,1,319,3145,3159,3153,N,MANGO,AVE,"3153 N MANGO AVE, Chicago, IL","(41.9380316, -87.7701044)",41.9380316,-87.7701044,1376.38,1376.38,50,7,Non-CBD,61348,8764,0.0224,Impacted
1090,1,483,6348,6356,6350,N,MAPLEWOOD,AVE,"6350 N MAPLEWOOD AVE, Chicago, IL","(41.9967551, -87.6935215)",41.9967551,-87.6935215,5120.71,5120.71,50,3,Non-CBD,16902,5634,0.303,Impacted
1091,1,483,6349,6361,6359,N,MAPLEWOOD,AVE,"6359 N MAPLEWOOD AVE, Chicago, IL","(41.9969423, -87.6934916)",41.9969423,-87.6934916,6375.9,6375.9,50,4,Non-CBD,22536,5634,0.2829,Impacted
1092,1,483,6404,6410,6406,N,MAPLEWOOD,AVE,"6406 N MAPLEWOOD AVE, Chicago, IL","(41.9979039, -87.69357)",41.9979039,-87.69357,6296.98,6296.98,50,4,Non-CBD,22536,5634,0.2794,Impacted
1093,1,483,6405,6413,6407,N,MAPLEWOOD,AVE,"6407 N MAPLEWOOD AVE, Chicago, IL","(41.9980094, -87.6933816)",41.9980094,-87.6933816,7441.71,7441.71,50,5,Non-CBD,28170,5634,0.2642,Impacted
1094,1,478,7605,7611,7609,N,MARSHFIELD,AVE,"7609 N MARSHFIELD AVE, Chicago, IL","(42.0198192, -87.6718811)",42.0198192,-87.6718811,1759.27,1759.27,50,4,Non-CBD,22536,5634,0.0781,Impacted
1095,1,478,7606,7612,7608,N,MARSHFIELD,AVE,"7608 N MARSHFIELD AVE, Chicago, IL","(42.0196949, -87.6719214)",42.0196949,-87.6719214,1212.68,1212.68,50,4,Non-CBD,22536,5634,0.0538,Impacted
1096,1,318,4003,4009,4005,N,MASON,AVE,"4005 N MASON AVE, Chicago, IL","(41.9532234, -87.77553979999999)",41.9532234,-87.77553979999999,691.34,691.34,50,5,Non-CBD,28170,5634,0.0245,Impacted
1097,1,318,4004,4010,4006,N,MASON,AVE,"4006 N MASON AVE, Chicago, IL","(41.9533208, -87.7755798)",41.9533208,-87.7755798,677.4,677.4,50,4,Non-CBD,22536,5634,0.0301,Impacted
1098,1,340,1603,1609,1605,N,MCVICKER,AVE,"1605 N MCVICKER AVE, Chicago, IL","(41.9093803, -87.7764246)",41.9093803,-87.7764246,834.26,834.26,50,4,Non-CBD,22536,5634,0.037,Impacted
1099,1,340,1606,1610,1608,N,MCVICKER,AVE,"1608 N MCVICKER AVE, Chicago, IL","(41.9094462, -87.7764627)",41.9094462,-87.7764627,513.39,513.39,50,3,Non-CBD,16902,5634,0.0304,Impacted
1100,1,340,1603,1609,1607,N,MEADE,AVE,"1607 N MEADE AVE, Chicago, IL","(41.9094678, -87.77763300000001)",41.9094678,-87.77763300000001,1974.25,1974.25,50,4,Non-CBD,22536,5634,0.0876,Impacted
1101,1,340,1604,1610,1606,N,MEADE,AVE,"1606 N MEADE AVE, Chicago, IL","(41.9093468, -87.7776679)",41.9093468,-87.7776679,1001.47,1001.47,50,5,Non-CBD,28170,5634,0.0356,Impacted
1102,1,304,4002,4010,4006,W,MELROSE,ST,"4006 W MELROSE ST, Chicago, IL","(41.9400126, -87.727368)",41.9400126,-87.727368,1785.67,1785.67,50,5,Non-CBD,28170,5634,0.0634,Impacted
1103,1,304,4003,4007,4005,W,MELROSE,ST,"4005 W MELROSE ST, Chicago, IL","(41.9399856, -87.7273033)",41.9399856,-87.7273033,2008.42,2008.42,50,3,Non-CBD,16902,5634,0.1188,Impacted
1104,1,716,1605,1687,1665,N,MILWAUKEE,AVE,"1665 N MILWAUKEE AVE, Chicago, IL","(41.9118398, -87.67925869999999)",41.9118398,-87.67925869999999,28236.87,28236.87,50,15,Non-CBD,131460,8764,0.2148,Impacted
